S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,Predicted Soil Moisture
0.19185,0.2297,0.2832,0.3088,0.316,0.164939,0.286558,0.251591,0.198393,2022,5,0.05910898
0.2363,0.2693,0.2957,0.3158,0.3171,0.1685,0.249515,0.309369,0.262385,2019,5,0.07024583
0.2247,0.2512,0.2657,0.2818,0.2787,0.166534,0.224394,0.291975,0.250093,2023,5,0.087478474
0.25865,0.28095,0.2832,0.2967,0.2834,0.152633,0.301421,0.239093,0.164348,2021,7,0.12067252
0.26455,0.2968,0.3095,0.318,0.3179,0.242338,0.2862,0.436763,0.368563,2022,3,0.09171813
0.1409,0.17165,0.21515,0.2315,0.24745,0.077626,0.275695,0.192659,0.129821,2020,1,0.11695001
0.1262,0.1405,0.1654,0.1806,0.1948,0.107038,0.198255,0.204113,0.1674,2020,11,0.0991076
0.1365,0.1701,0.2177,0.2427,0.25,0.124885,0.240206,0.27762,0.202779,2022,12,0.10021785
0.2979,0.3258,0.3279,0.343,0.3317,0.416289,0.465803,0.440379,0.364644,2023,6,0.13981746
0.27055,0.29565,0.29625,0.3055,0.3053,0.156111,0.283244,0.365716,0.288744,2019,5,0.06911013
0.1954,0.2581,0.36955,0.41605,0.3995,0.19457,0.27498,0.298465,0.226635,2022,8,0.20339088
0.1631,0.1928,0.2204,0.23945,0.2528,0.11416,0.262633,0.250835,0.17664,2019,2,0.082468085
0.12225,0.1463,0.17525,0.1914,0.2069,0.156125,0.23945,0.24913,0.211263,2019,12,0.11155614
0.2805,0.3048,0.3099,0.3209,0.3271,0.366803,0.409991,0.441053,0.397341,2019,4,0.077735744
0.1417,0.19065,0.2804,0.303,0.31025,0.143805,0.316821,0.262853,0.201541,2023,3,0.09591503
0.1567,0.19315,0.24125,0.2643,0.27505,0.148123,0.252196,0.253654,0.192288,2023,4,0.08373943
0.2302,0.2692,0.2985,0.3133,0.3112,0.1938,0.290751,0.265314,0.239478,2023,10,0.107338004
0.2893,0.3225,0.3285,0.3448,0.3381,0.269893,0.340361,0.412549,0.362471,2019,6,0.089592084
0.1009,0.1749,0.3566,0.4129,0.4217,0.235971,0.37079,0.34846,0.277414,2023,8,0.14339803
0.2652,0.2883,0.2952,0.3032,0.3073,0.248608,0.298795,0.363131,0.337048,2021,4,0.06491435
0.204,0.261,0.3649,0.4043,0.3928,0.191861,0.407668,0.38949,0.268985,2022,9,0.15540126
0.1691,0.2168,0.309,0.3383,0.3201,0.091665,0.364328,0.21503,0.123978,2020,8,0.15451002
0.0968,0.164,0.2981,0.3318,0.3179,0.242296,0.400765,0.38751,0.307966,2019,8,0.14792548
0.2529,0.2858,0.3014,0.3161,0.3059,0.235229,0.317481,0.35891,0.299208,2023,6,0.12500265
