S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.0938,0.1243,0.1807,0.2029,0.2201,0.000984,-0.00083,0.005343,0.005769,2019,1,0.067888
0.0299,0.025,0.0189,0.0183,0.0173,0.241334,0.299826,0.365414,0.335343,2019,1,0.025965
0.0198,0.0191,0.0154,0.0153,0.014,0.26904,0.328454,0.376606,0.346948,2019,1,0.06827
0.1524,0.18035,0.2132,0.2279,0.23735,0.178428,0.363833,0.223143,0.174949,2019,1,0.101631
0.0716,0.1295,0.3117,0.36225,0.3872,0.159989,0.213229,0.23439,0.177465,2019,1,0.165102
0.0247,0.0229,0.0195,0.0182,0.0168,0.114793,0.087306,0.012052,0.009014,2019,1,0.085441
0.1944,0.21,0.2163,0.2256,0.233,0.11966,0.288001,0.216089,0.158779,2019,1,0.079512
0.1338,0.1626,0.1954,0.2147,0.2312,0.124912,0.247851,0.236425,0.163261,2019,1,0.054937
0.1563,0.1853,0.2438,0.2651,0.2749,0.131182,0.20513,0.22515,0.174083,2019,1,0.158631
0.09295,0.14345,0.3021,0.3455,0.36735,0.001933,-0.00208,0.005095,0.005576,2019,1,0.118371
0.095,0.1311,0.2197,0.2541,0.278,0.107959,0.202559,0.187076,0.143681,2019,1,0.103018
0.0699,0.1036,0.2088,0.2406,0.2525,0.116264,0.203301,0.222593,0.163674,2019,1,0.136176
0.1185,0.1577,0.2082,0.2356,0.2591,0.000172,-0.0012,0.005315,0.005769,2019,1,0.020814
0.0692,0.1,0.1666,0.1897,0.2017,0.072979,0.239725,0.162175,0.107835,2019,1,0.181752
0.0288,0.0231,0.0142,0.014,0.0128,-0.00035,0.000502,0.00933,0.009935,2019,1,0.067888
0.1179,0.1474,0.1951,0.2214,0.2413,0.201349,0.316656,0.34252,0.277758,2019,1,0.09041
0.033,0.023,0.0161,0.015,0.0139,0.247618,0.289638,0.351623,0.327698,2019,1,0.083561
0.0158,0.0127,0.0117,0.0117,0.0111,0.176819,0.27234,0.344693,0.286929,2019,1,0.183903
0.1109,0.1142,0.08245,0.08495,0.0792,0.005329,-0.00718,0.004229,0.005054,2019,1,0.044835
0.09985,0.11235,0.10865,0.11235,0.1161,0.125614,0.254548,0.253585,0.182965,2019,1,0.031209
0.1389,0.16755,0.2243,0.249,0.26235,0.146899,0.250161,0.295646,0.219678,2019,1,0.097605
0.0775,0.1097,0.1917,0.2153,0.2264,0.129216,0.24209,0.291164,0.205061,2019,1,0.044374
0.1271,0.1556,0.1864,0.2109,0.2395,0.166465,0.284138,0.294079,0.22757,2019,1,0.094491
0.0271,0.0243,0.0139,0.0135,0.013,0.190321,0.253736,0.324466,0.283258,2019,1,0.159193
0.0907,0.1266,0.2049,0.2297,0.2443,0.000241,-0.00074,0.004944,0.00526,2019,1,0.132885
0.13415,0.16175,0.20715,0.2254,0.23695,0.018116,0.01857,0.025074,0.023974,2019,1,0.160026
0.1091,0.1479,0.1838,0.2069,0.2275,0.141633,0.264599,0.284385,0.19963,2019,1,0.025151
0.4614,0.4963,0.4836,0.4891,0.5055,0.131581,0.264351,0.285595,0.190404,2019,1,0.09441
0.12235,0.15485,0.2161,0.245,0.2611,0.152577,0.263994,0.280013,0.200029,2019,1,0.115959
0.2305,0.2531,0.2645,0.2772,0.297,0.054636,0.003816,0.008986,0.008821,2019,1,0.169637
0.0927,0.08755,0.04485,0.0453,0.04155,0.141866,0.274293,0.317055,0.231915,2019,1,0.07695
0.14185,0.16715,0.1914,0.20335,0.2162,0.13385,0.227212,0.236315,0.168761,2019,1,0.022781
0.0994,0.1442,0.2073,0.2365,0.2624,0.080734,0.020234,0.011145,0.011502,2019,1,0.182812
0.0995,0.133,0.1824,0.2045,0.2263,0.098843,0.258521,0.198709,0.135775,2019,1,0.039841
0.1136,0.1475,0.2078,0.2222,0.2285,0.133781,0.261381,0.230224,0.175801,2019,1,0.051835
0.1551,0.1739,0.1836,0.1944,0.2037,0.131265,0.200097,0.213751,0.16905,2019,1,0.020426
0.3671,0.3866,0.3827,0.3914,0.4123,0.139831,0.205969,0.252183,0.197072,2019,1,0.175592
0.0775,0.0867,0.1023,0.1134,0.1172,0.056713,0.200111,0.135088,0.081105,2019,1,0.057932
0.0757,0.1145,0.2137,0.2437,0.2526,0.134414,0.272258,0.288139,0.190569,2019,1,0.065089
0.1008,0.1306,0.1776,0.1951,0.2076,0.211001,0.302274,0.348996,0.302288,2019,1,0.054397
0.11105,0.1481,0.2244,0.25785,0.273,0.110709,0.10756,0.086701,0.063409,2019,1,0.178855
0.0718,0.1123,0.2215,0.2599,0.2747,0.09524,0.250326,0.170123,0.128061,2019,1,0.162114
0.09055,0.1344,0.20255,0.23075,0.2478,-0.00229,-0.00317,0.005191,0.005659,2019,1,0.110076
0.1152,0.1201,0.0894,0.093,0.0863,-0.00145,-0.00076,0.006456,0.006704,2019,1,0.171852
0.0714,0.1194,0.2536,0.2888,0.3105,0.125091,0.281841,0.269521,0.199974,2019,1,0.070623
0.1123,0.14535,0.19235,0.21525,0.2346,0.00042,-0.00098,0.004669,0.00504,2019,1,0.052572
0.1974,0.2225,0.2425,0.2527,0.2638,0.015064,-0.00052,0.00493,0.004146,2019,1,0.152806
0.2955,0.3113,0.3093,0.3149,0.3269,0.086646,0.157363,0.142994,0.115617,2019,1,0.022987
0.1635,0.1854,0.2121,0.2277,0.2416,0.08369,0.241224,0.170136,0.117144,2019,1,0.05544
0.09795,0.14075,0.22615,0.25495,0.2635,0.11823,0.211139,0.210878,0.159769,2019,1,0.059629
0.1913,0.2124,0.22335,0.2359,0.2513,0.168528,0.183598,0.166754,0.120966,2019,1,0.121534
0.18485,0.212,0.2461,0.26275,0.2768,0.136133,0.263719,0.259278,0.181315,2019,1,0.182312
0.0843,0.1292,0.2593,0.29825,0.3086,0.082796,0.272065,0.173106,0.118051,2019,1,0.071634
0.2261,0.2489,0.26055,0.2706,0.282,0.135706,0.278308,0.245431,0.186705,2019,1,0.019671
0.1729,0.1954,0.2088,0.2238,0.2475,0.140203,0.26541,0.250065,0.184161,2019,1,0.07599
0.1339,0.1681,0.2171,0.2461,0.2705,0.051694,0.347828,0.143943,0.077241,2019,1,0.084234
0.0154,0.0146,0.0122,0.0113,0.0103,-0.00078,-0.00256,0.004518,0.004889,2019,1,0.093701
0.1055,0.1464,0.2325,0.2657,0.2855,0.13275,0.190074,0.208018,0.183735,2019,1,0.071806
0.1429,0.16555,0.17915,0.19065,0.20205,7.62E-05,0.000406,0.006264,0.00636,2019,1,0.077623
0.195,0.2034,0.1998,0.2039,0.2077,0.128666,0.171498,0.185192,0.163275,2019,1,0.171242
0.1189,0.1508,0.2097,0.2306,0.248,0.148549,0.246298,0.243121,0.182594,2019,1,0.068148
0.1561,0.1996,0.2865,0.3161,0.3355,0.117213,0.147174,0.110585,0.087251,2019,1,0.022561
0.0694,0.1022,0.2016,0.2334,0.2428,0.087939,0.284935,0.214659,0.150845,2019,1,0.113308
0.12155,0.13115,0.11225,0.11835,0.115,0.105525,0.222606,0.219829,0.166534,2019,1,0.079448
0.1235,0.1667,0.2593,0.2916,0.31125,0.161336,0.318238,0.260776,0.214246,2019,1,0.141152
0.11935,0.1505,0.2085,0.233,0.24775,0.077228,0.006896,0.005961,0.006181,2019,1,0.085968
0.1604,0.1938,0.2499,0.269,0.2782,0.09095,0.214549,0.192329,0.141014,2019,1,0.044374
0.1118,0.0954,0.04685,0.0456,0.04065,0.160099,0.234665,0.259319,0.198943,2019,1,0.185083
0.0572,0.043,0.02,0.02,0.0194,0.309864,0.365936,0.406829,0.37002,2019,1,0.022537
0.07555,0.09045,0.1153,0.12485,0.1324,0.132654,0.267596,0.260103,0.212693,2019,1,0.158188
0.0639,0.0508,0.0247,0.0233,0.0222,-0.00255,-0.00168,0.007584,0.00823,2019,1,0.119597
0.0194,0.0284,0.022,0.0192,0.014,0.068881,0.191394,0.161405,0.115535,2019,1,0.096182
0.2644,0.2777,0.2765,0.2829,0.298,0.121406,0.217161,0.236233,0.179321,2019,1,0.110861
0.0176,0.02735,0.0208,0.01745,0.01205,0.044173,-0.0104,0.005054,0.007488,2019,1,0.091826
0.1224,0.1649,0.223,0.2505,0.2742,-0.00277,-0.00258,0.006456,0.006855,2019,1,0.10825
0.141,0.1542,0.162,0.1715,0.1785,0.000626,-0.001,0.006332,0.006745,2019,1,0.080863
0.14765,0.17405,0.20085,0.21605,0.2321,0.08468,0.241238,0.206367,0.144039,2019,1,0.163487
0.1192,0.1558,0.1919,0.2158,0.2377,0.099228,0.205116,0.20744,0.153293,2019,1,0.148359
0.26505,0.28635,0.29405,0.30565,0.3176,0.077626,0.303333,0.207206,0.153705,2019,1,0.112411
0.25255,0.2766,0.2871,0.29775,0.31385,0.111988,0.254479,0.213779,0.152646,2019,1,0.044335
0.1164,0.1219,0.0941,0.0984,0.0934,0.096038,0.238708,0.212913,0.144823,2019,1,0.073092
0.0714,0.1058,0.1836,0.2062,0.2155,0.08919,0.233661,0.213779,0.157761,2019,1,0.066847
0.0152,0.0145,0.0121,0.0113,0.0105,0.416564,0.453345,0.161969,0.094566,2019,1,0.075488
0.0835,0.11645,0.1687,0.1899,0.2076,0.171883,0.168239,0.1542,0.132118,2019,1,0.058269
0.1157,0.1161,0.0877,0.0891,0.0825,0.168555,0.245005,0.319145,0.273165,2019,1,0.024251
0.2246,0.2493,0.2606,0.2689,0.2808,0.256033,0.293804,0.253654,0.125958,2019,1,0.162963
0.06295,0.1071,0.2262,0.2602,0.28275,0.14892,0.23582,0.236755,0.195478,2019,1,0.063812
0.1961,0.2289,0.2488,0.2595,0.2725,0.130632,0.244483,0.232754,0.175086,2019,1,0.102412
0.0781,0.0586,0.0234,0.0228,0.0201,0.078685,0.030532,0.005576,0.005233,2019,1,0.069522
0.0712,0.1213,0.2657,0.3045,0.3158,0.119646,0.103339,0.012712,0.008972,2019,1,0.080329
0.1706,0.1952,0.2126,0.2228,0.2254,0.21129,0.263334,0.336525,0.300266,2019,1,0.020693
