S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.076,0.11525,0.1849,0.20945,0.22025,0.106598,0.264241,0.222496,0.147806,2019,1,0.122957
0.08095,0.1098,0.181,0.2071,0.21395,0.109705,0.24044,0.299538,0.20656,2019,1,0.119245
0.1492,0.1844,0.21925,0.23805,0.25175,0.160786,0.222029,0.248676,0.187063,2019,1,0.085959
0.1735,0.2061,0.239,0.2602,0.2738,0.091033,0.197306,0.20194,0.137398,2019,1,0.09353
0.0406,0.037,0.03475,0.0347,0.03175,0.154255,0.27058,0.340485,0.267033,2019,1,0.074192
0.1126,0.1436,0.1795,0.2003,0.2139,0.099558,0.255868,0.261395,0.170067,2019,1,0.132548
0.1739,0.211,0.2435,0.2704,0.2923,0.08765,0.163358,0.258728,0.203068,2019,1,0.10588
0.0962,0.1114,0.1243,0.1355,0.1443,-0.0003,-0.00151,0.002318,0.002537,2019,1,0.123924
0.0927,0.1246,0.1568,0.1757,0.1892,0.123235,0.24627,0.233648,0.168308,2019,1,0.137936
0.1407,0.1631,0.1847,0.2029,0.2146,0.15442,0.293529,0.334394,0.229523,2019,1,0.185812
0.1153,0.1474,0.1887,0.2101,0.2219,0.124651,0.189345,0.193827,0.140381,2019,1,0.195495
0.13115,0.1634,0.19915,0.22185,0.24215,0.106818,0.222758,0.25111,0.163715,2019,1,0.185548
0.0983,0.1122,0.1304,0.1461,0.1628,0.097137,0.227928,0.20557,0.143695,2019,1,0.177956
0.10315,0.13215,0.1623,0.1787,0.1938,0.120664,0.241128,0.269301,0.204236,2019,1,0.188598
0.0857,0.11525,0.17565,0.2021,0.21105,0.156455,0.220915,0.249831,0.190679,2019,1,0.187253
0.0287,0.02875,0.02665,0.02655,0.0228,0.090813,0.195065,0.223335,0.15387,2019,1,0.163709
0.10925,0.1334,0.1659,0.18555,0.1991,0.072333,0.185055,0.198558,0.130413,2019,1,0.082594
0.1427,0.17085,0.17835,0.19335,0.20475,0.124115,0.233592,0.308942,0.22394,2019,1,0.083078
0.0634,0.1025,0.1791,0.21,0.2274,0.119908,0.236219,0.292979,0.203274,2019,1,0.116612
0.0943,0.1314,0.187,0.2121,0.2327,0.127223,0.206587,0.238625,0.173395,2019,1,0.221317
0.1372,0.1696,0.21005,0.2272,0.23795,0.113954,0.248773,0.265506,0.190431,2019,1,0.179363
0.1672,0.202,0.2453,0.2689,0.2878,0.219251,0.372275,0.296114,0.222221,2019,1,0.19544
0.1191,0.1394,0.1556,0.1671,0.1713,0.027232,0.256748,0.127113,0.060095,2019,1,0.196309
0.0767,0.1069,0.1449,0.1661,0.1803,0.004999,0.007323,0.019092,0.015765,2019,1,0.193955
0.109,0.13675,0.1718,0.19105,0.20325,0.139391,0.291961,0.333335,0.23472,2019,1,0.18582
0.0944,0.1363,0.2123,0.2379,0.2496,0.069541,0.204525,0.218825,0.133685,2019,1,0.172506
0.14305,0.17365,0.20245,0.21845,0.22975,0.092394,0.188259,0.16025,0.114146,2019,1,0.189674
0.1021,0.13685,0.1812,0.2026,0.2189,0.000365,0.000392,0.009907,0.008725,2019,1,0.123809
0.1241,0.156,0.19535,0.21605,0.22895,0.118532,0.213531,0.228918,0.16168,2019,1,0.180679
0.1163,0.1491,0.2048,0.2284,0.2385,0.047156,0.253998,0.188355,0.105443,2019,1,0.141047
0.0418,0.0862,0.2,0.2415,0.2569,0.122011,0.262316,0.265163,0.179816,2019,1,0.091287
0.07045,0.0978,0.1315,0.1467,0.15865,0.167262,0.267445,0.35583,0.291893,2019,1,0.18252
0.159,0.20335,0.25625,0.2825,0.2985,0.087788,0.23681,0.24407,0.170095,2019,1,0.191334
0.0307,0.0803,0.2121,0.25615,0.26775,0.050553,0.22218,0.186155,0.106185,2019,1,0.085702
0.1268,0.1659,0.22935,0.25725,0.27205,0.038123,0.252843,0.170535,0.08776,2019,1,0.123692
0.1173,0.1529,0.2209,0.2499,0.2653,0.070119,0.174096,0.151024,0.112139,2019,1,0.08701
0.0909,0.1079,0.1314,0.1469,0.16,0.097495,0.24759,0.26651,0.1762,2019,1,0.15355
0.1323,0.1632,0.2081,0.2258,0.2373,0.128804,0.20337,0.217024,0.171443,2019,1,0.175794
0.04545,0.08765,0.17,0.19975,0.2172,0.14782,0.270401,0.343208,0.24363,2019,1,0.180802
0.132,0.1655,0.197,0.2188,0.2372,0.103339,0.261313,0.242145,0.170975,2019,1,0.109669
0.12385,0.15965,0.21355,0.23755,0.2517,0.09293,0.153815,0.188547,0.140945,2019,1,0.145897
0.13355,0.15995,0.1849,0.19925,0.21365,0.072869,0.189524,0.239794,0.149938,2019,1,0.15657
0.1134,0.1545,0.229,0.2571,0.2654,0.08853,0.083965,0.072937,0.050883,2019,1,0.178714
0.0812,0.0991,0.1306,0.1488,0.1623,0.100108,0.250986,0.241898,0.173684,2019,1,0.188234
0.0979,0.138,0.2213,0.2507,0.2629,0.013593,0.019299,0.031963,0.027892,2019,1,0.185208
0.1119,0.1461,0.204,0.2251,0.2344,0.129161,0.232671,0.261739,0.190308,2019,1,0.063995
0.1147,0.138,0.1572,0.168,0.1728,0.0068,0.011887,0.02803,0.027287,2019,1,0.196686
0.1105,0.14735,0.20045,0.2217,0.23555,0.035015,0.24572,0.137672,0.06873,2019,1,0.144907
0.15595,0.1852,0.21255,0.23225,0.2437,0.086495,0.251894,0.198571,0.135459,2019,1,0.141047
0.1733,0.2133,0.258,0.2835,0.3008,0.093343,0.240248,0.181769,0.12428,2019,1,0.119944
0.1483,0.1725,0.1939,0.2107,0.2243,0.000805,-0.00134,0.007212,0.0068,2019,1,0.190463
0.0392,0.0763,0.1447,0.1705,0.1875,0.001685,-0.0017,0.004119,0.00416,2019,1,0.253031
0.1599,0.2012,0.2567,0.2864,0.3055,0.032238,0.245582,0.140395,0.069748,2019,1,0.186444
0.1143,0.1512,0.2203,0.2488,0.2678,-0.00083,-0.00118,0.006676,0.006607,2019,1,0.111892
0.0771,0.1078,0.1541,0.17375,0.1874,0.08732,0.237456,0.179032,0.118821,2019,1,0.114736
0.0985,0.1334,0.17635,0.1954,0.2076,0.03375,0.188823,0.143943,0.075275,2019,1,0.192533
0.0964,0.12705,0.18535,0.20615,0.2125,0.096491,0.190225,0.172804,0.127965,2019,1,0.099379
0.1153,0.1476,0.1907,0.2111,0.2245,0.080143,0.256033,0.21635,0.13165,2019,1,0.108307
0.0859,0.1096,0.1538,0.1705,0.1777,0.106405,0.26112,0.266015,0.186045,2019,1,0.135364
0.02395,0.0216,0.01875,0.0181,0.0167,0.1069,0.228973,0.195918,0.126893,2019,1,0.213071
0.14715,0.17695,0.21375,0.2362,0.2521,0.087416,0.211538,0.175375,0.121021,2019,1,0.187621
0.0993,0.1162,0.1268,0.137,0.1408,0.144974,0.277015,0.318169,0.228505,2019,1,0.107529
0.11915,0.1521,0.18775,0.20395,0.2137,0.072855,0.195725,0.15662,0.105498,2019,1,0.156911
0.1282,0.1579,0.1892,0.2047,0.2113,0.156015,0.26849,0.343125,0.275613,2019,1,0.195694
0.1024,0.1275,0.1648,0.1795,0.1878,0.132228,0.223748,0.263994,0.192356,2019,1,0.182617
0.125,0.1645,0.2229,0.2499,0.267,0.029969,2.39E-01,0.129615,0.060013,2019,1,0.181792
0.1832,0.2225,0.2579,0.2817,0.2911,0.133657,0.215869,0.271611,0.200263,2019,1,0.106551
0.12345,0.14875,0.1772,0.1895,0.19525,0.07885,2.38E-01,0.209668,0.135418,2019,1,0.127988
0.1388,0.169,0.2236,0.2498,0.2637,0.113335,0.259044,0.276561,0.200373,2019,1,0.18104
0.1034,0.1361,0.2074,0.237,0.2524,0.076444,0.211084,0.173258,0.111905,2019,1,0.191887
0.08045,0.12135,0.18755,0.2096,0.2226,0.084213,0.259951,0.221589,0.144025,2019,1,0.116771
0.1034,0.1235,0.1462,0.1595,0.1656,0.117309,0.195959,0.213999,0.150433,2019,1,0.108044
0.05965,0.09955,0.1737,0.20345,0.2166,0.120884,0.240605,0.259058,0.178345,2019,1,0.182416
0.11575,0.1526,0.2134,0.2409,0.2519,0.06389,0.241746,0.191311,0.118972,2019,1,0.182516
0.0204,0.0191,0.017,0.017,0.0153,0.127731,0.273743,0.302508,0.22306,2019,1,0.182193
0.0444,0.0825,0.1883,0.2287,0.2445,0.0354,0.255455,0.15068,0.073487,2019,1,0.13039
0.1262,0.17,0.2042,0.2253,0.234,0.111864,0.260859,0.304419,0.219238,2019,1,0.13634
0.1271,0.1647,0.2239,0.2503,0.2708,0.101785,0.267418,0.249089,0.174591,2019,1,0.181268
0.1344,0.154,0.1691,0.1803,0.1831,0.085643,0.15343,0.069445,0.043513,2019,1,0.173954
0.13435,0.1717,0.23625,0.26545,0.28525,0.100451,0.245445,0.253901,0.172364,2019,1,0.185788
0.1703,0.2046,0.227,0.2463,0.2636,0.106226,0.249446,0.202531,0.136284,2019,1,0.157171
0.12505,0.1578,0.19715,0.21945,0.2366,0.184313,0.289748,0.357439,0.261835,2019,1,0.19734
0.141,0.18035,0.22765,0.25355,0.26815,0.073515,0.211813,0.156263,0.102885,2019,1,0.120582
0.0568,0.0957,0.2029,0.2492,0.26085,0.125298,0.266689,0.256019,0.176379,2019,1,0.180336
0.17025,0.20525,0.23585,0.25215,0.25965,0.140477,0.27894,0.293006,0.20238,2019,1,0.085136
0.1126,0.1557,0.2024,0.2236,0.2427,0.108633,0.23428,0.234968,0.172515,2019,1,0.165628
0.0932,0.1169,0.1435,0.1589,0.1711,-0.00091,-0.00232,0.00394,0.004091,2019,1,0.116506
0.0862,0.1275,0.2142,0.2481,0.264,0.05234,0.265946,0.167881,0.099269,2019,1,0.104228
0.0873,0.1118,0.1424,0.1587,0.1663,0.26222,0.247961,0.143489,0.10536,2019,1,0.17812
0.08765,0.11485,0.1657,0.1855,0.1966,0.120485,0.277441,0.29159,0.185179,2019,1,0.11607
0.13835,0.16675,0.18895,0.2034,0.21745,0.077805,0.15475,0.20601,0.16058,2019,1,0.181268
0.07515,0.09895,0.13975,0.1553,0.1576,0.072621,0.183501,0.217478,0.150969,2019,1,0.104115
0.03205,0.0869,0.2106,0.246,0.26745,0.066228,0.174908,0.198833,0.13484,2019,1,0.107335
0.0979,0.13,0.17,0.1878,0.1991,0.167249,0.281566,0.35924,0.284028,2019,1,0.115973
0.0701,0.1118,0.1653,0.1899,0.2112,0.122616,2.16E-01,0.291508,0.218619,2019,1,0.108389
0.1191,0.1621,0.223,0.2499,0.2662,0.106515,0.203508,0.187338,0.134813,2019,1,0.19064
0.09985,0.1306,0.1853,0.20655,0.21485,0.132681,0.325828,0.231585,0.1586,2019,1,0.142501
0.12175,0.15115,0.19495,0.21365,0.22395,0.100052,0.187461,0.231131,0.154255,2019,1,0.076673
0.1178,0.1551,0.194,0.213,0.2295,0.129973,0.221355,0.217038,0.162918,2019,1,0.11989
0.1601,0.20135,0.2424,0.2631,0.277,0.099448,0.206395,0.237415,0.165695,2019,1,0.18116
0.0983,0.1317,0.185,0.2081,0.21915,0.103023,0.251358,0.270608,0.18159,2019,1,0.112787
