S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.10965,0.1377,0.2053,0.2235,0.23125,0.065251,0.21822,0.180408,0.110805,2019,1,0.12605
0.11165,0.1505,0.23935,0.2642,0.27305,0.071012,0.245252,0.154021,0.109623,2019,1,0.090035
0.091,0.1308,0.1997,0.2202,0.2382,0.101592,0.361756,0.237278,0.170384,2019,1,0.113609
0.0923,0.1281,0.2012,0.2233,0.241,0.075014,0.209145,0.186114,0.129216,2019,1,0.130485
0.28225,0.3068,0.31225,0.3225,0.3354,0.042082,0.218536,0.160085,0.086797,2019,1,0.144395
0.1214,0.1576,0.2329,0.254,0.2669,0.158655,0.272395,0.347415,0.276561,2019,1,0.164035
0.12705,0.1579,0.2015,0.2186,0.22715,0.08743,0.301724,0.204154,0.131224,2019,1,0.147121
0.12215,0.14905,0.2102,0.22815,0.2311,0.091693,0.274031,0.21294,0.154668,2019,1,0.143345
0.10355,0.1398,0.20825,0.2272,0.23485,0.092215,0.194199,0.193071,0.138704,2019,1,0.130838
0.1231,0.1502,0.20595,0.2224,0.2395,0.292828,0.364163,0.299579,0.23428,2019,1,0.142019
0.11665,0.1508,0.2279,0.25345,0.26115,0.072181,0.245541,0.167428,0.114683,2019,1,0.16316
0.1026,0.143,0.2535,0.2833,0.2939,0.082068,0.235614,0.17334,0.112565,2019,1,0.08657
0.1174,0.1529,0.2595,0.285,0.2905,0.045465,0.315584,0.129574,0.07302,2019,1,0.106698
0.0948,0.1286,0.2101,0.2377,0.2474,0.211977,0.344362,0.283615,0.214783,2019,1,0.094266
0.1229,0.15465,0.19725,0.21665,0.23805,0.098045,0.202793,0.17763,0.133547,2019,1,0.125119
0.11505,0.1468,0.2045,0.21615,0.2247,0.120224,0.206491,0.18148,0.136738,2019,1,0.083306
0.09175,0.1325,0.2662,0.2897,0.2993,0.113129,0.222881,0.257133,0.201239,2019,1,0.202266
0.1507,0.16815,0.18365,0.196,0.20575,0.089575,0.222909,0.191848,0.143626,2019,1,0.137849
0.046,0.07985,0.159,0.18575,0.2012,0.041436,0.286558,0.133946,0.069844,2019,1,0.100127
0.1424,0.1686,0.1916,0.2123,0.2314,0.144149,0.309781,0.242681,0.177479,2019,1,0.114869
0.0681,0.0934,0.12965,0.14635,0.1636,0.073625,0.258068,0.187131,0.128776,2019,1,0.12605
0.0987,0.1373,0.22025,0.2434,0.2517,0.043568,0.234954,0.160772,0.091404,2019,1,0.106055
0.10515,0.1401,0.2385,0.26615,0.27715,0.04156,0.306633,0.137975,0.070985,2019,1,0.185163
0.09395,0.127,0.20185,0.22645,0.2303,0.083016,0.287465,0.237621,0.159219,2019,1,0.089109
0.0844,0.10945,0.16665,0.1862,0.1936,0.081655,0.250106,0.188616,0.12956,2019,1,0.103905
0.0258,0.0561,0.1536,0.1883,0.2009,0.07676,0.325332,0.196619,0.12923,2019,1,0.09817
0.0958,0.1371,0.26485,0.29615,0.30575,0.213091,0.308778,0.259223,0.215332,2019,1,0.113406
0.1157,0.14205,0.20205,0.2165,0.22605,0.173395,0.263238,0.219925,0.160965,2019,1,0.138396
0.13165,0.1513,0.19505,0.2049,0.21275,0.060824,0.274334,0.152357,0.094278,2019,1,0.109765
0.0929,0.1297,0.193,0.2125,0.2279,0.058376,0.24088,0.1806,0.10371,2019,1,0.147114
0.1234,0.1499,0.1872,0.2079,0.217,0.095309,0.229055,0.222483,0.156056,2019,1,0.133968
0.11635,0.1487,0.2385,0.2664,0.2775,0.174096,0.2202,0.233345,0.220296,2019,1,0.102242
0.1192,0.1441,0.2086,0.2262,0.231,0.0915,0.217959,0.261271,0.188369,2019,1,0.139405
0.0974,0.1267,0.1983,0.2245,0.2338,0.025995,0.22438,0.11834,0.055214,2019,1,0.119146
0.0225,0.0576,0.1535,0.1841,0.1967,0.100066,0.2598,0.172831,0.121943,2019,1,0.113847
0.12765,0.15685,0.20025,0.21935,0.23255,0.126838,0.251646,0.30072,0.220228,2019,1,0.148289
0.1066,0.1367,0.2038,0.2239,0.2321,0.078465,0.227969,0.175485,0.124968,2019,1,0.152849
0.1063,0.1374,0.2196,0.24275,0.2502,0.028731,0.208664,0.109141,0.052134,2019,1,0.126677
0.1189,0.15665,0.2623,0.291,0.30385,0.087238,0.270374,0.172075,0.114229,2019,1,0.137553
0.11805,0.14145,0.1816,0.1909,0.2008,0.640923,0.721388,0.382079,0.326584,2019,1,0.101647
0.0763,0.1181,0.192,0.2181,0.233,0.047514,0.203398,0.12681,0.07874,2019,1,0.095707
0.11955,0.15205,0.2284,0.2533,0.26015,0.07115,0.277111,0.159714,0.102101,2019,1,0.142505
0.1006,0.14135,0.2095,0.23305,0.2438,0.080899,0.254231,0.186499,0.13088,2019,1,0.163175
0.4125,0.45025,0.5304,0.55775,0.5719,0.073776,0.216941,0.164485,0.118079,2019,1,0.105873
0.1123,0.1437,0.2261,0.2523,0.259,0.067479,0.194089,0.147586,0.101524,2019,1,0.14325
0.124,0.1531,0.20125,0.21715,0.2275,0.125751,0.244166,0.248979,0.195904,2019,1,0.118925
0.0397,0.0786,0.1843,0.22,0.2306,0.090221,0.268889,0.169353,0.117075,2019,1,0.106251
0.14175,0.169,0.19495,0.20725,0.21665,0.097,0.201019,0.199286,0.147903,2019,1,0.127774
0.10165,0.12675,0.18615,0.2017,0.20995,0.042577,0.164416,0.13561,0.083993,2019,1,0.193296
0.0962,0.13605,0.23795,0.26815,0.2768,0.053963,0.305175,0.136545,0.078273,2019,1,0.108897
0.1258,0.1712,0.2278,0.2498,0.2674,0.086687,0.252196,0.153911,0.098746,2019,1,0.112368
0.0968,0.1333,0.2402,0.2732,0.2814,0.109733,0.278803,0.255579,0.194474,2019,1,0.116652
0.0675,0.10455,0.17685,0.19935,0.21615,0.084804,0.197182,0.165626,0.122946,2019,1,0.160957
0.12725,0.1455,0.156,0.16515,0.17445,0.106144,0.20887,0.246999,0.181398,2019,1,0.148884
0.1114,0.1449,0.2138,0.2405,0.2528,1.12E-01,0.239312,0.246518,0.18456,2019,1,0.155714
0.11585,0.1526,0.26625,0.2997,0.3089,0.316698,0.428471,0.356765,0.285526,2019,1,0.130062
0.1468,0.1714,0.2032,0.2179,0.2315,0.056506,0.258123,0.158091,0.100218,2019,1,0.078204
0.12905,0.15215,0.18595,0.19555,0.2045,0.128047,0.243603,0.297186,0.210135,2019,1,0.107719
0.1067,0.1429,0.24,0.2619,0.2656,0.114875,0.213999,0.241829,0.188905,2019,1,0.098267
0.1043,0.142,0.26055,0.3015,0.3079,0.086481,0.196591,0.175141,0.128941,2019,1,0.146914
0.1183,0.1542,0.2036,0.2197,0.2271,0.048009,0.339866,0.135541,0.070022,2019,1,0.12489
0.0545,0.11695,0.2209,0.2531,0.2746,0.077475,0.216116,0.171869,0.12252,2019,1,0.100935
0.1242,0.1554,0.202,0.2138,0.2242,0.040364,0.201349,0.107821,0.072003,2019,1,0.160974
0.1039,0.135,0.18725,0.20515,0.2153,0.076884,0.207385,0.162409,0.110709,2019,1,0.097313
0.1205,0.15405,0.2132,0.2303,0.24615,0.06565,0.253984,0.178441,0.112661,2019,1,0.143224
0.10155,0.13195,0.2069,0.22885,0.2317,0.069816,0.247013,0.16344,0.107656,2019,1,0.148505
0.0922,0.1262,0.2527,0.30065,0.30875,0.115013,0.212857,0.239739,0.181246,2019,1,0.128383
0.10375,0.149,0.22165,0.24585,0.2619,0.085739,0.195051,0.185825,0.138869,2019,1,0.165726
0.1013,0.13395,0.1999,0.21575,0.2245,0.152481,0.293983,0.244483,0.180408,2019,1,0.118065
0.11645,0.1555,0.26905,0.2988,0.31455,0.075949,0.265245,0.227501,0.139639,2019,1,0.199764
0.1448,0.1754,0.2221,0.2393,0.2499,0.127621,0.352393,0.228436,0.186581,2019,1,0.155954
0.2121,0.2248,0.2382,0.2464,0.2478,0.04827,0.153884,0.144396,0.092353,2019,1,0.116765
0.119,0.1434,0.1689,0.1781,0.1878,0.466105,0.526729,0.23351,0.160236,2019,1,0.139803
0.14255,0.16995,0.20085,0.21885,0.23105,0.072071,0.215511,0.163275,0.110626,2019,1,0.119703
0.1261,0.1557,0.2096,0.2271,0.2321,0.081545,0.25804,0.180614,0.120925,2019,1,0.170338
0.1025,0.14685,0.20145,0.2178,0.23045,0.089974,0.204071,0.185729,0.132296,2019,1,0.148289
0.1162,0.1435,0.1878,0.2006,0.2098,0.029144,0.206299,0.128103,0.064866,2019,1,0.135569
0.077,0.116,0.1753,0.1959,0.2059,0.099585,0.241196,0.18368,0.129711,2019,1,0.14092
0.0948,0.1199,0.163,0.1748,0.1837,0.158201,0.325112,0.269301,0.193401,2019,1,0.155996
0.09665,0.12705,0.20335,0.2279,0.23265,0.358044,0.458584,0.38124,0.302631,2019,1,0.088605
0.1171,0.1545,0.2402,0.2641,0.2753,0.090606,0.298946,0.200441,0.141839,2019,1,0.157796
0.1233,0.1505,0.22015,0.2393,0.2449,0.108413,0.191325,0.196619,0.144988,2019,1,0.146522
0.1425,0.1717,0.21275,0.23095,0.2495,0.102734,0.202023,0.219128,0.167978,2019,1,0.11017
0.1631,0.19,0.2258,0.2446,0.2546,0.066255,0.2697,0.173038,0.102734,2019,1,0.135446
0.06185,0.0924,0.1425,0.1623,0.1794,0.05168,0.189799,0.134166,0.077888,2019,1,0.146889
0.0876,0.1349,0.2477,0.28195,0.2954,0.024359,0.173642,0.089424,0.04145,2019,1,0.162795
0.1157,0.14365,0.19915,0.2143,0.2182,0.080706,0.263361,0.194199,0.135349,2019,1,0.165887
0.1642,0.1962,0.271,0.2887,0.3013,0.052546,0.239656,0.185509,0.110626,2019,1,0.139405
0.11735,0.14885,0.19645,0.21425,0.2246,0.055557,0.19336,0.180284,0.117735,2019,1,0.103596
0.1192,0.1459,0.1962,0.2107,0.2223,0.116993,0.219898,0.235394,0.17664,2019,1,0.080363
0.0944,0.1295,0.2433,0.266,0.27285,0.086179,0.24077,0.189235,0.12681,2019,1,0.115758
0.1242,0.1559,0.19755,0.21055,0.22,0.318471,0.436941,0.285499,0.206505,2019,1,0.092049
0.142,0.1705,0.2063,0.2266,0.2386,0.172103,0.321593,0.24088,0.173065,2019,1,0.111499
0.1176,0.1484,0.20195,0.21505,0.2266,0.098457,0.223995,0.191408,0.137205,2019,1,0.149938
0.1111,0.1563,0.245,0.2746,0.2852,0.104851,0.227336,0.17488,0.127979,2019,1,0.158522
0.0969,0.1242,0.1883,0.2082,0.2133,0.096313,0.1905,0.181191,0.131595,2019,1,0.110814
0.0968,0.1271,0.2034,0.229,0.2397,0.121076,0.21701,0.220035,0.158353,2019,1,0.150812
0.1057,0.1359,0.1795,0.1995,0.2201,0.06015,0.312146,0.16102,0.096093,2019,1,0.157541
0.12255,0.17175,0.25865,0.29245,0.3072,0.280356,0.352324,0.319296,0.248731,2019,1,0.122933
0.1358,0.1685,0.2052,0.2234,0.2356,0.091734,0.195161,0.165681,0.11966,2019,1,0.101143
0.105,0.13485,0.18995,0.2057,0.2132,0.074601,0.236507,0.161598,0.110585,2019,1,0.088743
0.11115,0.1348,0.1636,0.17285,0.1838,0.09469,0.233001,0.210438,0.153128,2019,1,0.108605
0.0243,0.0557,0.1498,0.18,0.1894,0.163949,0.24198,0.281443,0.218399,2019,1,0.11237
0.1136,0.14725,0.20355,0.2281,0.2351,0.09799,0.223665,0.190555,0.141853,2019,1,0.172453
0.1051,0.145,0.2652,0.2976,0.3103,0.098293,0.215539,0.188383,0.142045,2019,1,0.15808
0.1104,0.14875,0.24805,0.27655,0.2861,0.576916,0.623996,0.385035,0.276685,2019,1,0.148066
0.1104,0.1336,0.1728,0.18425,0.1869,0.103971,0.214233,0.196028,0.143805,2019,1,0.098575
0.12775,0.15365,0.22185,0.24415,0.2502,0.294161,0.45032,0.330118,0.259319,2019,1,0.129156
0.15225,0.17875,0.19855,0.21445,0.22595,0.064468,0.212734,0.140354,0.093838,2019,1,0.092833
0.065,0.10345,0.1705,0.195,0.2169,0.097261,0.233056,0.25958,0.18643,2019,1,0.099843
0.10865,0.1443,0.22255,0.24595,0.255,0.106488,0.346246,0.223101,0.168033,2019,1,0.113692
0.0726,0.1127,0.1934,0.2153,0.2314,0.239794,0.306536,0.420826,0.40709,2019,1,0.104495
0.131,0.1608,0.219,0.2355,0.2478,0.087238,0.255593,0.212761,0.149993,2019,1,0.130918
0.13895,0.1598,0.18915,0.20305,0.2155,0.102211,0.209159,0.190569,0.142678,2019,1,0.130979
0.1319,0.15355,0.1929,0.2036,0.2011,0.098898,0.187901,0.207083,0.157294,2019,1,0.151882
0.1487,0.1781,0.2109,0.2295,0.2451,0.036019,0.194955,0.113115,0.05795,2019,1,0.134488
0.1169,0.15615,0.26205,0.29015,0.3038,0.07225,0.283904,0.155382,0.100424,2019,1,0.124249
0.0997,0.1353,0.2038,0.2151,0.2274,0.105704,0.209599,0.193814,0.140697,2019,1,0.151615
0.1074,0.152,0.2537,0.28395,0.2938,0.044874,0.258989,0.128543,0.079483,2019,1,0.147461
0.1379,0.1689,0.2088,0.2271,0.2399,0.093329,0.181219,0.183171,0.141151,2019,1,0.144327
0.1077,0.14625,0.2716,0.3048,0.31365,0.103531,0.296856,0.197004,0.149979,2019,1,0.17069
0.0473,0.0464,0.0415,0.0408,0.0371,0.006992,0.050841,0.028443,0.014954,2019,1,0.146164
0.175,0.2023,0.2228,0.2395,0.2531,0.077832,0.229138,0.163674,0.107436,2019,1,0.183561
0.0819,0.1239,0.2341,0.2662,0.2698,0.13143,0.267871,0.321428,0.216694,2019,1,0.155803
0.0887,0.1283,0.2571,0.2971,0.307,0.109141,2.31E-01,0.207605,0.161694,2019,1,0.111972
0.0847,0.12095,0.2172,0.2432,0.24805,0.059834,0.253475,0.141633,0.089644,2019,1,0.144984
0.14565,0.1749,0.22595,0.23855,0.2417,0.097894,2.15E-01,0.223858,0.166809,2019,1,0.276467
0.1202,0.15155,0.2252,0.2472,0.2538,0.021554,0.11482,0.133767,0.094718,2019,1,0.159531
0.1218,0.1549,0.2575,0.2858,0.2961,0.304584,0.469845,0.356738,0.282501,2019,1,0.139544
0.1232,0.1578,0.2275,0.2458,0.2539,0.096794,0.264393,0.159893,0.107051,2019,1,0.100347
0.14175,0.1692,0.2112,0.23225,0.24925,0.07181,0.226181,0.194487,0.118808,2019,1,0.130918
