S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.12815,0.15005,0.18575,0.20045,0.20385,0.112084,0.177836,0.172845,0.135088,2019,1,0.147448
0.1202,0.14055,0.16125,0.17355,0.18225,0.089231,0.161254,0.176943,0.131292,2019,1,0.189984
0.0765,0.1131,0.24975,0.3043,0.3136,0.068235,0.284866,0.161102,0.096807,2019,1,0.202467
0.1314,0.1623,0.2017,0.2198,0.2307,0.102747,0.220833,0.243878,0.188383,2019,1,0.134262
0.1503,0.1789,0.1994,0.21765,0.2357,0.113981,0.193676,0.239354,0.174316,2019,1,0.159403
0.0916,0.1291,0.1803,0.1998,0.2101,0.078589,0.199451,0.159411,0.103077,2019,1,0.170976
0.1203,0.16625,0.2648,0.2973,0.31475,0.081353,0.35517,0.22185,0.123221,2019,1,0.178536
0.097,0.1318,0.1904,0.2103,0.2194,0.439059,0.52776,0.412095,0.309011,2019,1,0.119098
0.1338,0.15345,0.1677,0.1794,0.1885,0.107436,0.159343,0.182676,0.149374,2019,1,0.11125
0.12495,0.14495,0.1565,0.1698,0.1765,0.10327,0.167606,0.183763,0.137989,2019,1,0.172555
0.1417,0.1792,0.23,0.2606,0.2755,0.132668,0.276135,0.31282,0.234775,2019,1,0.065675
0.1401,0.17075,0.20745,0.2237,0.23415,0.104576,0.212789,0.220888,0.157101,2019,1,0.189481
0.10125,0.11,0.10595,0.10905,0.113,0.131842,0.160662,0.100534,0.079194,2019,1,0.09289
0.0953,0.1285,0.1833,0.2042,0.2154,0.228519,0.355294,0.32217,0.255978,2019,1,0.143261
0.1498,0.1857,0.2309,0.2542,0.2634,0.13605,0.268683,0.302783,0.22262,2019,1,0.195393
0.02735,0.02255,0.02155,0.0216,0.02055,0.002194,0.000502,0.007749,0.00735,2019,1,0.129116
0.14725,0.1669,0.1757,0.1833,0.18805,0.132516,0.184189,0.209269,0.16421,2019,1,0.191298
0.0881,0.1268,0.2294,0.2619,0.2714,0.073955,0.262468,0.155025,0.097165,2019,1,0.082002
0.0954,0.11625,0.13965,0.1542,0.16555,0.088819,0.169229,0.199891,0.146349,2019,1,0.196791
0.0808,0.11765,0.1725,0.197,0.21505,0.066516,0.211263,0.202463,0.122493,2019,1,0.06785
0.1074,0.1364,0.18025,0.2032,0.21225,0.088942,0.203081,0.171016,0.119028,2019,1,0.22386
0.1023,0.13095,0.1895,0.21335,0.22165,0.09194,0.226828,0.190445,0.130028,2019,1,0.135158
0.0762,0.1152,0.1803,0.2024,0.2119,0.200015,0.324508,0.306426,0.233964,2019,1,0.181595
0.1578,0.1759,0.1859,0.191,0.1902,0.121186,0.164361,0.164361,0.136366,2019,1,0.064198
0.15165,0.1778,0.19455,0.20815,0.2221,0.157459,0.251633,0.276011,0.195175,2019,1,0.180311
0.1213,0.1537,0.1708,0.175,0.1868,0.111781,0.219403,0.23021,0.16443,2019,1,0.185008
0.0582,0.10175,0.19525,0.2258,0.243,0.062831,0.231365,0.18742,0.107656,2019,1,0.180872
0.07285,0.11665,0.1723,0.19425,0.2068,0.082356,0.242076,0.210149,0.121131,2019,1,0.121737
0.09115,0.1122,0.15055,0.16355,0.1714,0.086481,0.155011,0.156978,0.127429,2019,1,0.078676
0.08745,0.1189,0.16405,0.18375,0.20205,0.084089,0.207674,0.220915,0.143104,2019,1,0.181472
0.1627,0.1944,0.219,0.2333,0.2426,0.120334,0.229275,0.223775,0.156606,2019,1,0.127773
0.1597,0.1926,0.2275,0.2476,0.2663,0.154241,0.263829,0.329925,0.250216,2019,1,0.20092
0.0649,0.1038,0.1787,0.2038,0.2131,0.038411,0.220365,0.15288,0.081628,2019,1,0.119553
0.1023,0.1338,0.1903,0.2136,0.2288,0.09722,0.23703,0.18698,0.119605,2019,1,0.17984
0.1003,0.1293,0.1663,0.1838,0.1992,0.102143,0.221561,0.248415,0.177823,2019,1,0.136624
0.1406,0.16645,0.18645,0.20295,0.2184,0.122149,0.216708,0.236205,0.170879,2019,1,0.167515
0.05525,0.0851,0.14715,0.1676,0.17965,0.057868,0.17378,0.130852,0.083112,2019,1,0.129542
0.1382,0.16305,0.1914,0.2073,0.2175,0.118918,0.212197,0.205983,0.152261,2019,1,0.144904
0.1493,0.1895,0.2336,0.2525,0.2645,0.127883,0.236549,0.267761,0.188823,2019,1,0.118123
0.1224,0.1546,0.2101,0.2394,0.25355,0.11405,0.244923,0.212693,0.142334,2019,1,0.210542
0.1485,0.1789,0.2077,0.2277,0.2438,0.122355,0.23593,0.223418,0.148892,2019,1,0.107619
0.0965,0.1106,0.1266,0.1413,0.1541,0.089355,0.159123,0.216323,0.158353,2019,1,0.081119
0.1371,0.1728,0.2105,0.2292,0.2476,0.111932,0.234445,0.250436,0.174454,2019,1,0.159762
0.10885,0.14025,0.19105,0.2143,0.22975,0.087389,0.226333,0.188273,0.12879,2019,1,0.208527
0.1158,0.1433,0.1851,0.2079,0.2169,0.101428,0.2367,0.19754,0.12681,2019,1,0.08634
0.0863,0.11625,0.1828,0.20675,0.2118,0.077846,0.203824,0.165448,0.114559,2019,1,0.079816
0.1147,0.1373,0.157,0.1701,0.181,0.101276,0.177781,0.221658,0.18401,2019,1,0.097082
0.1244,0.1488,0.1772,0.1937,0.2011,0.118972,0.217395,0.22075,0.153375,2019,1,0.182637
0.1486,0.18015,0.2083,0.22575,0.23785,0.144754,0.253791,0.284536,0.200799,2019,1,0.187853
0.1268,0.1534,0.1747,0.1918,0.2101,0.102143,0.190005,0.221259,0.153705,2019,1,0.192397
0.10425,0.13825,0.19815,0.2228,0.2352,0.099365,0.238845,0.191861,0.135968,2019,1,0.087344
0.1026,0.13745,0.1918,0.213,0.22925,0.056383,0.15332,0.132668,0.084433,2019,1,0.128823
0.1188,0.145,0.1797,0.1964,0.2047,0.13055,0.207688,0.22064,0.16069,2019,1,0.168709
0.1036,0.138,0.203,0.2275,0.2395,0.09073,0.243878,0.198118,0.1289,2019,1,0.083667
0.0974,0.1291,0.1875,0.2093,0.2239,0.096409,0.243809,0.218633,0.15805,2019,1,0.207262
0.11945,0.1484,0.1764,0.1912,0.20045,0.120925,0.209764,0.257174,0.196564,2019,1,0.127374
